id,nome_do_produto,marca,valor_de_custo,valor_de_venda,quantidade,codigo_interno,codigo_ncm,codigo_cfop,codigo_cest,origem_cst,descricao,CNPJ
167,"BEBEDOURO INDUSTRIAL 100LTS 3T GELADA 127V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
168,"BEBEDOURO INDUSTRIAL 100LTS 3T GELADA 220V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
169,"BEBEDOURO INDUSTRIAL 100LTS 3T GELADA/NATURAL 127V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
170,"BEBEDOURO INDUSTRIAL 100LTS 3T GELADA/NATURAL 220V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
171,"BEBEDOURO INDUSTRIAL 50LTS 2T GELADA 127V",FRISBEL,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
172,"BEBEDOURO INDUSTRIAL 50LTS 2T GELADA 220V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
173,"BEBEDOURO INDUSTRIAL 50LTS 2T GELADA/NATURAL 127V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
174,"BEBEDOURO INDUSTRIAL 50LTS 2T GELADA/NATURAL 220V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
175,"BEBEDOURO INDUSTRIAL 25LTS 2T GELADA 127V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
176,"BEBEDOURO INDUSTRIAL 25LTS 2T GELADA 220V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
177,"BEBEDOURO INDUSTRIAL 25LTS 2T GELADA/NATURAL 127V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
178,"BEBEDOURO INDUSTRIAL 25LTS 2T GELADA/NATURAL 220V",FRISBEL,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
179,"BATEDEIRA PLANETÁRIA 12LTS ",FC2,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
180,"CONGELADOR VERTICAL TRIPLA AÇÃO PORTA DE VIDRO VCET569 2V 220V",FRICON,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
181,"CONGELADOR VERTICAL TRIPLA AÇÃO PORTA DE VIDRO VCET569 1V 127V",FRICON,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
182,"CONGELADOR VERTICAL TRIPLA AÇÃO PORTA DE VIDRO VCET284 2V 220V",FRICON,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
183,"CONGELADOR VERTICAL TRIPLA AÇÃO PORTA DE VIDRO VCET284 1V 127V",FRICON,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
184,"CONGELADOR VERTICAL TRIPLA AÇÃO PORTA CEGA VCET284 1C 127V",FRICON,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
185,"CONGELADOR VERTICAL TRIPLA AÇÃO PORTA CEGA VCET284 2C 220V",FRICON,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
186,"CONGELADOR VERTICAL TRIPLA AÇÃO PORTA CEGA VCET569 1C 127V",FRICON,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
187,"CONGELADOR VERTICAL TRIPLA AÇÃO PORTA CEGA VCET569 2C 220V",FRICON,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
188,"CERVEJEIRA VERTICAL PORTA DE VIDRO VCFC402 1V 127V",FRICON,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
189,"CERVEJEIRA VERTICAL PORTA DE VIDRO VCFC402 2V 220V",FRICON,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
190,"MULTIPROCESSADOR DE ALIMENTOS MPA 7 DISCOS BIVOLT",FC2,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
191,"CILINDRO LAMINADOR 30CM INOX",FC2,3314.00,3314.00,0,0,0,0,0,0,_,NUTRIGEL
192,"CARRO SALADA 06 CUBAS CINZA",IBET,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
193,"CARRO SALADA 08 CUBAS CINZA",IBET,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
194,"CARRO SALADA 10 CUBAS CINZA",IBET,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
195,"CARRO SALADA 12 CUBAS CINZA",IBET,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
196,"CARRO TERMICO 06 CUBAS CINZA",IBET,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
